center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
691226,Zanda Chowk Primary School,Silvassa - Vapi Rd Near Mukta Hospital Zanda Chowk Silvassa Surat Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:30:00,16:00:00,Free,"[{'session_id': '93ce46a0-1505-40f8-95e6-ec38c7bfac7d', 'date': '23-05-2021', 'available_capacity': 39, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 39, 'available_capacity_dose2': 0}, {'session_id': '276275c5-945a-4a97-b6d8-608d2b5b9fe1', 'date': '24-05-2021', 'available_capacity': 40, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-05:00PM'], 'available_capacity_dose1': 40, 'available_capacity_dose2': 0}]",93ce46a0-1505-40f8-95e6-ec38c7bfac7d,23-05-2021,39,45,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",39,0
365404,HWC Dapada,Dapada Missionpada,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:00:00,17:00:00,Free,"[{'session_id': '21bf731d-d544-4a39-a4e6-6a36ea98525b', 'date': '23-05-2021', 'available_capacity': 38, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 13, 'available_capacity_dose2': 25}, {'session_id': '58026499-2a0f-48f8-9f28-bf060e69d299', 'date': '24-05-2021', 'available_capacity': 47, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 22, 'available_capacity_dose2': 25}, {'session_id': 'bc541349-c27f-4984-aba8-631b3c4e8bf2', 'date': '25-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'bae7c6c4-73b2-44a6-bee2-b62f6271f28d', 'date': '26-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'bbd8fcd6-9f53-4131-9bc4-7ee1d95fcf11', 'date': '27-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'd25e4ca0-853c-4fcf-8311-3d9dcecae6e2', 'date': '28-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '18e13e74-0a42-442a-8332-ca752de2cc03', 'date': '29-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 23, 'available_capacity_dose2': 25}]",21bf731d-d544-4a39-a4e6-6a36ea98525b,23-05-2021,38,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",13,25
708393,DNHPROOFONLY18PLUS DUDHANI HS,OLD POLICE OUTPOST BUILDING Behind DUDHANI,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:30:00,16:00:00,Free,"[{'session_id': '6cdf9ecc-c5fb-46b1-8b7c-186b9a015400', 'date': '23-05-2021', 'available_capacity': 35, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 35, 'available_capacity_dose2': 0}]",6cdf9ecc-c5fb-46b1-8b7c-186b9a015400,23-05-2021,35,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",35,0
708409,DNHPROOFONLY18PLUS NAROLI GHS2,Naroli Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,20,72,09:30:00,16:00:00,Free,"[{'session_id': '16cc6e5a-02e3-423f-b671-9c111c9623c9', 'date': '23-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}]",16cc6e5a-02e3-423f-b671-9c111c9623c9,23-05-2021,0,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",0,0
555511,PHC Randha,Primary Health Center Randha Mota Randha Battlion Campus Randha,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:00:00,17:00:00,Free,"[{'session_id': '1a49fca6-8cbd-4559-b032-96d48f939603', 'date': '23-05-2021', 'available_capacity': 48, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 23, 'available_capacity_dose2': 25}, {'session_id': 'dab73bbd-ec5d-49b5-b15e-0c8353c48afe', 'date': '24-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '7fe99d36-d3a0-4a10-99fb-29b89bb43856', 'date': '25-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'e83bf89b-3b69-4064-8168-50e29300159d', 'date': '26-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '99b2bd58-555e-41b3-9195-e426f053a1f6', 'date': '27-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'f0eff9fd-8f8a-4ed6-b4a0-ec1d9dbed8f3', 'date': '28-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '22ae4e37-d850-4d7e-a490-2183dc5aa2ba', 'date': '29-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}]",1a49fca6-8cbd-4559-b032-96d48f939603,23-05-2021,48,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",23,25
708383,DNHPROOFONLY18PLUS ZANDA CHOK3,Silvassa - Vapi Rd Near Mukta Hospital Zanda Chowk Silvassa,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:30:00,16:00:00,Free,"[{'session_id': '7ab309e0-60f3-4f52-9576-9ab266268630', 'date': '23-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}]",7ab309e0-60f3-4f52-9576-9ab266268630,23-05-2021,0,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",0,0
555591,PHC Dudhani,Dudhani Chowkipada,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:00:00,17:00:00,Free,"[{'session_id': '8ee5f605-8bb9-4991-9b8b-0df2d347ae83', 'date': '23-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'a9ccc53e-98f2-405b-a8d5-07d9df3bc9fa', 'date': '24-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '23d235d2-296d-47ba-93f4-9ca8e701ef5c', 'date': '25-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '8e1cb4df-17ad-4b1b-9744-c4b402954b5d', 'date': '26-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '58ce7ddb-b919-4a62-a55a-6ad4eed5a311', 'date': '27-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': 'fc52bc11-0f92-4721-a332-c29af721a10c', 'date': '28-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}, {'session_id': '405a15c4-34ed-45a0-8ea3-46c55a1adf8d', 'date': '29-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}]",8ee5f605-8bb9-4991-9b8b-0df2d347ae83,23-05-2021,50,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",25,25
708410,DNHPROOFONLY18PLUS Amboli PS,Amboli Silvassa Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396230,20,73,09:30:00,16:00:00,Free,"[{'session_id': 'b9128b79-d666-438d-96b7-99aa01befe20', 'date': '23-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}]",b9128b79-d666-438d-96b7-99aa01befe20,23-05-2021,0,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",0,0
708391,DNHPROOFONLY18PLUS NAROLI GHS1,Naroli Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Dadra and Nagar Haveli,396235,20,72,09:30:00,16:00:00,Free,"[{'session_id': '53099822-80a7-41ba-8c39-5e8feea22821', 'date': '23-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}]",53099822-80a7-41ba-8c39-5e8feea22821,23-05-2021,0,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",0,0
708434,DNHPROOF18PLUS SAMARVANI SCHOL,Schoolpada Samarvani Masat,Dadra and Nagar Haveli,Dadra and Nagar Haveli,,396230,20,73,09:30:00,16:00:00,Free,"[{'session_id': '4dec4b75-5c21-44cb-a1b6-a4734907a7c3', 'date': '23-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}]",4dec4b75-5c21-44cb-a1b6-a4734907a7c3,23-05-2021,0,18,COVISHIELD,"['09:30AM-10:30AM', '10:30AM-11:30AM', '11:30AM-12:30PM', '12:30PM-04:00PM']",0,0
